utc,commit,env,board,app,mode,split,metric,value
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,35
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,58
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,32
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,33
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,wall_ms,559
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,gcstress,none,holdout,passed,1
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,gcstress,none,holdout,wall_us,10776
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,inherit,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,interfacedemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,lambdademo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,listdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,mathsdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,stringdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,threaddemo,none,holdout,oom_count,0
2026-04-11T03:00:02Z,c9bfbb9,sim,testbench_rp2350,trywithresourcesdemo,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_array_operations_ms,126
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_control_flow_ms,41
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_double_arithmetic_ms,50
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_float_arithmetic_ms,50
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_int_arithmetic_ms,81
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_interface_dispatch_ms,43
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,34
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,57
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,32
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,33
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,benchmark,none,train,wall_ms,551
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-12T03:00:03Z,c9bfbb9,sim,testbench_rp2350,gcstress,none,holdout,passed,1
